final_drop_id	enemy_id	enemy_source	source_id	元drop_id	敵の名前	is_boss	街ID	街名	dungeon_id	ダンジョン名	敵の役割	Lv	敵の型	属性	ドロップ区分	レアドロップ品	レアドロップ種別	排他カテゴリ	ドロップタイミング	ドロップ率(%)	初回確定入手	追加初回報酬	追加初回報酬種別	効果案＿改善後カイゼンゴ	結合元	排他チェック	1体1レア割当チェック	メモ	素材ID	素材カテゴリ	素材レア度	NPC売却価格	市場取引可	主用途	B案ロール	レシピ必要数方針
2963	372	ボスマスタ	412	5015	星辰竜アステリオス	1	9	天空都市セレスティア	62	星辰の塔	ボス	178	耐久型	光	防具合成素材ドロップ	重装の核	素材	素材系	通常撃破時	14	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5015	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2964	372	ボスマスタ	412	5042	星辰竜アステリオス	1	9	天空都市セレスティア	62	星辰の塔	ボス	178	耐久型	光	防具合成素材ドロップ	天空竜の織布	素材	素材系	通常撃破時	8	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5042	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2965	373	モンスターマスタ	311	5003	神殿騎士	0	9	天空都市セレスティア	63	神々の祭壇	雑魚	178	物理型	光	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	26	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2966	373	モンスターマスタ	311	5015	神殿騎士	0	9	天空都市セレスティア	63	神々の祭壇	雑魚	178	物理型	光	防具合成素材ドロップ	重装の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5015	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2967	373	モンスターマスタ	311	5041	神殿騎士	0	9	天空都市セレスティア	63	神々の祭壇	雑魚	178	物理型	光	防具合成素材ドロップ	天空の羽布	素材	素材系	通常撃破時	16	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5041	防具合成素材	city_low	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2968	374	モンスターマスタ	312	5003	祭壇の天使	0	9	天空都市セレスティア	63	神々の祭壇	雑魚	178	標準型	光	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	26	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2969	374	モンスターマスタ	312	5021	祭壇の天使	0	9	天空都市セレスティア	63	神々の祭壇	雑魚	178	標準型	光	防具合成素材ドロップ	聖布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5021	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2970	374	モンスターマスタ	312	5041	祭壇の天使	0	9	天空都市セレスティア	63	神々の祭壇	雑魚	178	標準型	光	防具合成素材ドロップ	天空の羽布	素材	素材系	通常撃破時	16	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5041	防具合成素材	city_low	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2971	375	モンスターマスタ	313	5003	星の守護者	0	9	天空都市セレスティア	63	神々の祭壇	やや強い	179	重装型	光	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2972	375	モンスターマスタ	313	5015	星の守護者	0	9	天空都市セレスティア	63	神々の祭壇	やや強い	179	重装型	光	防具合成素材ドロップ	重装の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5015	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2973	375	モンスターマスタ	313	5042	星の守護者	0	9	天空都市セレスティア	63	神々の祭壇	やや強い	179	重装型	光	防具合成素材ドロップ	天空竜の織布	素材	素材系	通常撃破時	12	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5042	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2974	376	モンスターマスタ	314	5003	古代神官	0	9	天空都市セレスティア	63	神々の祭壇	レア敵	180	標準型	光	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2975	376	モンスターマスタ	314	5021	古代神官	0	9	天空都市セレスティア	63	神々の祭壇	レア敵	180	標準型	光	防具合成素材ドロップ	聖布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5021	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2976	376	モンスターマスタ	314	5042	古代神官	0	9	天空都市セレスティア	63	神々の祭壇	レア敵	180	標準型	光	防具合成素材ドロップ	天空竜の織布	素材	素材系	通常撃破時	12	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5042	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2977	377	モンスターマスタ	315	5003	雷神ヴォルト	0	9	天空都市セレスティア	63	神々の祭壇	ボス候補	180	標準型	雷	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2978	377	モンスターマスタ	315	5024	雷神ヴォルト	0	9	天空都市セレスティア	63	神々の祭壇	ボス候補	180	標準型	雷	防具合成素材ドロップ	闘具の核	素材	素材系	通常撃破時	14	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5024	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2979	377	モンスターマスタ	315	5042	雷神ヴォルト	0	9	天空都市セレスティア	63	神々の祭壇	ボス候補	180	標準型	雷	防具合成素材ドロップ	天空竜の織布	素材	素材系	通常撃破時	8	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5042	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2980	378	ボスマスタ	413	5003	神々の代行者プロヴィデンス	1	9	天空都市セレスティア	63	神々の祭壇	ボス	180	バランス型	光	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2981	378	ボスマスタ	413	5024	神々の代行者プロヴィデンス	1	9	天空都市セレスティア	63	神々の祭壇	ボス	180	バランス型	光	防具合成素材ドロップ	闘具の核	素材	素材系	通常撃破時	14	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5024	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2982	378	ボスマスタ	413	5042	神々の代行者プロヴィデンス	1	9	天空都市セレスティア	63	神々の祭壇	ボス	180	バランス型	光	防具合成素材ドロップ	天空竜の織布	素材	素材系	通常撃破時	8	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5042	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2983	379	モンスターマスタ	316	5003	魔王軍歩兵	0	10	魔王城ヴァルゼリア	64	魔王領外郭	雑魚	180	物理型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	26	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2984	379	モンスターマスタ	316	5018	魔王軍歩兵	0	10	魔王城ヴァルゼリア	64	魔王領外郭	雑魚	180	物理型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2985	379	モンスターマスタ	316	5043	魔王軍歩兵	0	10	魔王城ヴァルゼリア	64	魔王領外郭	雑魚	180	物理型	無	防具合成素材ドロップ	魔王城の黒布	素材	素材系	通常撃破時	16	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5043	防具合成素材	city_low	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2986	380	モンスターマスタ	317	5003	黒炎スライム	0	10	魔王城ヴァルゼリア	64	魔王領外郭	雑魚	181	耐久型	火	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	26	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2987	380	モンスターマスタ	317	5018	黒炎スライム	0	10	魔王城ヴァルゼリア	64	魔王領外郭	雑魚	181	耐久型	火	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2988	380	モンスターマスタ	317	5043	黒炎スライム	0	10	魔王城ヴァルゼリア	64	魔王領外郭	雑魚	181	耐久型	火	防具合成素材ドロップ	魔王城の黒布	素材	素材系	通常撃破時	16	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5043	防具合成素材	city_low	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2989	381	モンスターマスタ	318	5003	外郭ガーゴイル	0	10	魔王城ヴァルゼリア	64	魔王領外郭	やや強い	182	標準型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2990	381	モンスターマスタ	318	5018	外郭ガーゴイル	0	10	魔王城ヴァルゼリア	64	魔王領外郭	やや強い	182	標準型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2991	381	モンスターマスタ	318	5044	外郭ガーゴイル	0	10	魔王城ヴァルゼリア	64	魔王領外郭	やや強い	182	標準型	無	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	12	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2992	382	モンスターマスタ	319	5003	魔城の番犬	0	10	魔王城ヴァルゼリア	64	魔王領外郭	レア敵	182	物理型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2993	382	モンスターマスタ	319	5018	魔城の番犬	0	10	魔王城ヴァルゼリア	64	魔王領外郭	レア敵	182	物理型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2994	382	モンスターマスタ	319	5044	魔城の番犬	0	10	魔王城ヴァルゼリア	64	魔王領外郭	レア敵	182	物理型	無	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	12	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2995	383	モンスターマスタ	320	5003	外郭隊長	0	10	魔王城ヴァルゼリア	64	魔王領外郭	最深部候補	183	標準型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2996	383	モンスターマスタ	320	5018	外郭隊長	0	10	魔王城ヴァルゼリア	64	魔王領外郭	最深部候補	183	標準型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	14	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2997	383	モンスターマスタ	320	5044	外郭隊長	0	10	魔王城ヴァルゼリア	64	魔王領外郭	最深部候補	183	標準型	無	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	8	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2998	384	ボスマスタ	414	5003	魔王領門番グラオザム	1	10	魔王城ヴァルゼリア	64	魔王領外郭	ボス	183	物理型	闇	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
2999	384	ボスマスタ	414	5018	魔王領門番グラオザム	1	10	魔王城ヴァルゼリア	64	魔王領外郭	ボス	183	物理型	闇	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	14	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3000	384	ボスマスタ	414	5044	魔王領門番グラオザム	1	10	魔王城ヴァルゼリア	64	魔王領外郭	ボス	183	物理型	闇	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	8	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3001	385	モンスターマスタ	321	5003	次元スライム	0	10	魔王城ヴァルゼリア	65	絶望の回廊	雑魚	183	耐久型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	26	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3002	385	モンスターマスタ	321	5018	次元スライム	0	10	魔王城ヴァルゼリア	65	絶望の回廊	雑魚	183	耐久型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3003	385	モンスターマスタ	321	5043	次元スライム	0	10	魔王城ヴァルゼリア	65	絶望の回廊	雑魚	183	耐久型	無	防具合成素材ドロップ	魔王城の黒布	素材	素材系	通常撃破時	16	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5043	防具合成素材	city_low	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3004	386	モンスターマスタ	322	5003	時空の影	0	10	魔王城ヴァルゼリア	65	絶望の回廊	雑魚	184	標準型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	26	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3005	386	モンスターマスタ	322	5018	時空の影	0	10	魔王城ヴァルゼリア	65	絶望の回廊	雑魚	184	標準型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3006	386	モンスターマスタ	322	5043	時空の影	0	10	魔王城ヴァルゼリア	65	絶望の回廊	雑魚	184	標準型	無	防具合成素材ドロップ	魔王城の黒布	素材	素材系	通常撃破時	16	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5043	防具合成素材	city_low	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3007	387	モンスターマスタ	323	5003	迷い人の亡霊	0	10	魔王城ヴァルゼリア	65	絶望の回廊	やや強い	185	アンデッド型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3008	387	モンスターマスタ	323	5018	迷い人の亡霊	0	10	魔王城ヴァルゼリア	65	絶望の回廊	やや強い	185	アンデッド型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3009	387	モンスターマスタ	323	5044	迷い人の亡霊	0	10	魔王城ヴァルゼリア	65	絶望の回廊	やや強い	185	アンデッド型	無	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	12	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3010	388	モンスターマスタ	324	5003	空間裂け目	0	10	魔王城ヴァルゼリア	65	絶望の回廊	レア敵	185	標準型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3011	388	モンスターマスタ	324	5018	空間裂け目	0	10	魔王城ヴァルゼリア	65	絶望の回廊	レア敵	185	標準型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	18	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3012	388	モンスターマスタ	324	5044	空間裂け目	0	10	魔王城ヴァルゼリア	65	絶望の回廊	レア敵	185	標準型	無	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	12	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3013	389	モンスターマスタ	325	5003	回廊の主	0	10	魔王城ヴァルゼリア	65	絶望の回廊	最深部候補	186	標準型	無	防具合成素材ドロップ	防具の核	素材	素材系	通常撃破時	22	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5003	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3014	389	モンスターマスタ	325	5018	回廊の主	0	10	魔王城ヴァルゼリア	65	絶望の回廊	最深部候補	186	標準型	無	防具合成素材ドロップ	魔布の核	素材	素材系	通常撃破時	14	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5018	防具合成素材	high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
3015	389	モンスターマスタ	325	5044	回廊の主	0	10	魔王城ヴァルゼリア	65	絶望の回廊	最深部候補	186	標準型	無	防具合成素材ドロップ	魔王の黒装片	素材	素材系	通常撃破時	8	NO			防具進化・鍛冶強化素材。Gold・輝石なしで装備と素材を使う。	防具進化素材追加	素材枠のため既存レア枠と別判定	対象外	防具共通素材 / 防具カテゴリ素材 / 防具都市素材	5044	防具合成素材	city_high	0	0	防具進化・鍛冶強化	防具進化素材	Gold・輝石なし。装備と素材で進化。
